,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,Major_Category_Arts,Major_Category_Business,Major_Category_Humanities,Major_Category_Medical,Major_Category_STEM,Primary_Use_Case_Copywriting/Drafting,Primary_Use_Case_Debugging/Troubleshooting,Primary_Use_Case_Direct_Answer_Generation,Primary_Use_Case_Ideation,Primary_Use_Case_Summarizing_Reading,Institutional_Policy_Actively_Encouraged,Institutional_Policy_Allowed_With_Citation,Institutional_Policy_Strict_Ban
Major_Category_Medical,-0.01,0.0,-0.04,-0.02,-0.01,-0.01,0.01,-0.02,-0.01,0.0,-0.01,-0.02,-0.14,-0.22,-0.19,1.0,-0.25,-0.11,-0.1,0.01,-0.08,0.31,0.0,-0.0,-0.0
Major_Category_STEM,0.01,-0.0,0.16,0.1,0.06,0.05,-0.03,0.1,0.05,0.02,0.05,0.08,-0.24,-0.38,-0.33,-0.25,1.0,-0.18,0.41,-0.01,-0.15,-0.09,-0.01,0.0,0.01
Primary_Use_Case_Copywriting/Drafting,0.0,-0.01,-0.05,-0.02,-0.01,-0.02,0.01,-0.04,-0.02,-0.02,-0.02,-0.02,0.17,-0.15,0.33,-0.11,-0.18,1.0,-0.32,-0.21,-0.29,-0.26,-0.0,0.0,-0.0
Primary_Use_Case_Debugging/Troubleshooting,0.0,0.0,0.07,0.05,0.03,0.02,-0.01,0.04,0.02,0.05,0.1,0.03,-0.09,-0.15,-0.15,-0.1,0.41,-0.32,1.0,-0.22,-0.3,-0.26,-0.0,0.0,-0.0
Primary_Use_Case_Direct_Answer_Generation,0.0,0.01,0.0,-0.0,-0.01,-0.0,0.0,-0.0,0.0,-0.04,-0.06,0.01,0.01,0.01,-0.02,0.01,-0.01,-0.21,-0.22,1.0,-0.2,-0.17,-0.0,0.0,0.0
Primary_Use_Case_Ideation,-0.0,-0.0,-0.0,-0.02,-0.01,-0.0,-0.01,-0.0,-0.0,-0.01,-0.01,-0.01,-0.06,0.37,-0.11,-0.08,-0.15,-0.29,-0.3,-0.2,1.0,-0.24,0.01,-0.0,-0.01
Primary_Use_Case_Summarizing_Reading,-0.01,0.01,-0.01,-0.0,-0.01,-0.0,0.0,-0.0,0.0,0.0,-0.02,-0.01,-0.03,-0.06,-0.06,0.31,-0.09,-0.26,-0.26,-0.17,-0.24,1.0,0.0,-0.01,0.01
Institutional_Policy_Actively_Encouraged,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.01,-0.05,0.01,0.02,-0.02,0.01,0.0,0.0,0.0,-0.01,-0.0,-0.0,-0.0,0.01,0.0,1.0,-0.66,-0.32
Institutional_Policy_Allowed_With_Citation,-0.01,-0.0,-0.0,0.0,-0.0,0.0,-0.01,-0.0,-0.07,0.01,0.01,-0.02,-0.01,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.01,-0.66,1.0,-0.5
Institutional_Policy_Strict_Ban,0.01,-0.0,-0.0,0.0,0.01,-0.0,0.0,-0.01,0.14,-0.02,-0.03,0.05,0.0,-0.01,-0.01,-0.0,0.01,-0.0,-0.0,0.0,-0.01,0.01,-0.32,-0.5,1.0
